layer,analysis,dependent_variable,core_variable,sample_group,observations,firms,coefficient,coefficient_scaled_millions,standard_error,t_statistic,p_value,significance,covariance,covariance_label,ci_lower,ci_upper,within_r_squared
reproduced_sensitivity,Ownership,REM,CEO_age_w,SOE,1436,484,-0.0010465614375762184,,0.0013732534815678152,-0.7621036113313769,0.4461903645435057,,cluster_year,year clustered,-0.0037415774439540257,0.0016484545688015889,0.01313083321473707
reproduced_sensitivity,Auditor groups,AEM_w,CEO_age_w,Big Four,593,155,-27533040.138842836,-27.533040138842836,12809221.407043295,-2.149470234287892,0.032166425072024385,**,cluster_year,year clustered,-52711035.21063448,-2355045.0670511946,0.07989829128428305
reproduced_sensitivity,Auditor groups,AEM_w,CEO_age_w,Non-Big Four,11936,2789,5682591.732813521,5.682591732813521,2050667.6669408265,2.7710934465021224,0.0055981440663490645,***,cluster_year,year clustered,1662824.061685328,9702359.403941715,0.04706317502739599
reproduced_sensitivity,Auditor groups,REM,CEO_age_w,Big Four,593,155,-0.002740674276511705,,0.002973021264247665,-0.9218481917603247,0.35713573352387895,,cluster_year,year clustered,-0.008584488850471661,0.0031031402974482513,0.019018949427867526
reproduced_sensitivity,Auditor groups,REM,CEO_age_w,Non-Big Four,11936,2789,-0.002003879278458979,,0.000847292227907803,-2.3650391357974647,0.01804895536112161,**,cluster_year,year clustered,-0.0036647617123361834,-0.00034299684458177467,0.0002320726465344647
reproduced_sensitivity,Fixed age bands,AEM_w,MidAge,Full sample,12529,2944,35959838.54521637,35.959838545216364,16886883.425919957,2.1294538274612007,0.03324218908857701,**,cluster_year,year clustered,2857967.3599542603,69061709.73047847,0.049798244102865596
reproduced_sensitivity,Fixed age bands,AEM_w,OldAge,Full sample,12529,2944,79348939.98690878,79.34893998690877,32552569.195563484,2.4375630540929185,0.01480472336875982,**,cluster_year,year clustered,15539003.891363584,143158876.08245397,0.049798244102865596
reproduced_sensitivity,Fixed age bands,REM_w,MidAge,Full sample,12529,2944,-0.021696002823835263,,0.007949623359795134,-2.7291862572460768,0.0063606892748748756,***,cluster_year,year clustered,-0.03727894976497301,-0.006113055882697518,0.004874425156595974
reproduced_sensitivity,Fixed age bands,REM_w,OldAge,Full sample,12529,2944,-0.026285947670895298,,0.009679611820022532,-2.7155993607638402,0.006627470523440815,***,cluster_year,year clustered,-0.045260038715896456,-0.007311856625894141,0.004874425156595974
reproduced_sensitivity,Baseline,AEM_w,CEO_age_w,Full sample,12529,2944,4727401.704767835,4.727401704767836,2515134.158696045,1.8795823230434459,0.06019538803024882,*,cluster_two_way,firm and year two-way clustered,-202794.33756533638,9657597.747101007,0.047993166308007984
reproduced_sensitivity,Baseline,REM,CEO_age_w,Full sample,12529,2944,-0.0020135102360512957,,0.0009738671336424851,-2.0675410089262467,0.03871002654599209,**,cluster_two_way,firm and year two-way clustered,-0.003922496232461031,-0.00010452423964156087,0.00022702339909974611
reproduced_sensitivity,Median split,AEM_w,CEO_age_w,Young CEO,5749,1820,7112523.683835314,7.112523683835314,4853341.440445273,1.4654900692877628,0.14286762525906038,,cluster_two_way,firm and year two-way clustered,-2402794.748396109,16627842.116066735,0.03335581689719069
reproduced_sensitivity,Median split,AEM_w,CEO_age_w,Senior CEO,6780,1924,13187270.380944721,13.187270380944721,10543479.845611298,1.2507512295794727,0.21108572519136848,,cluster_two_way,firm and year two-way clustered,-7482740.494577736,33857281.25646718,0.020274177715243757
reproduced_sensitivity,Median split,REM,CEO_age_w,Young CEO,5749,1820,-0.0020902657097639434,,0.002982557757581965,-0.7008299183646236,0.4834508459634028,,cluster_two_way,firm and year two-way clustered,-0.007937780695915577,0.00375724927638769,0.004669239297651617
reproduced_sensitivity,Median split,REM,CEO_age_w,Senior CEO,6780,1924,-0.000793208988987227,,0.0034940512149612625,-0.2270169897884628,0.8204201207933299,,cluster_two_way,firm and year two-way clustered,-0.007643136875267015,0.0060567188972925606,0.0024429319944487826
reproduced_sensitivity,Ownership,AEM_w,CEO_age_w,Non-SOE,11093,2460,4889577.17444976,4.88957717444976,2788741.1746162465,1.7533277089160506,0.07958132943821217,*,cluster_two_way,firm and year two-way clustered,-577023.0291978754,10356177.378097394,0.05187098569738613
reproduced_sensitivity,Ownership,AEM_w,CEO_age_w,SOE,1436,484,5311495.696258628,5.3114956962586275,6060524.777181051,0.8764085440682216,0.38103308038842987,,cluster_two_way,firm and year two-way clustered,-6582310.87389107,17205302.266408324,0.025128078013198274
reproduced_sensitivity,Ownership,REM,CEO_age_w,Non-SOE,11093,2460,-0.002298213674176366,,0.001121497959331043,-2.0492357164405512,0.04046928915501602,**,cluster_two_way,firm and year two-way clustered,-0.004496618111516497,-9.980923683623483e-05,-7.868394812193813e-05
reproduced_sensitivity,Ownership,REM,CEO_age_w,SOE,1436,484,-0.0010465614375762184,,0.0015567485329290877,-0.6722739192868029,0.501575419227178,,cluster_two_way,firm and year two-way clustered,-0.004101687290495366,0.0020085644153429293,0.01313083321473707
reproduced_sensitivity,Auditor groups,AEM_w,CEO_age_w,Big Four,593,155,-27533040.138842836,-27.533040138842836,20472110.243081298,-1.3449048394094025,0.1793800246910877,,cluster_two_way,firm and year two-way clustered,-67773322.85626483,12707242.57857915,0.07989829128428305
reproduced_sensitivity,Auditor groups,AEM_w,CEO_age_w,Non-Big Four,11936,2789,5682591.732813521,5.682591732813521,2428883.06842256,2.339590491898025,0.019326332125628953,**,cluster_two_way,firm and year two-way clustered,921437.210900737,10443746.254726306,0.04706317502739599
reproduced_sensitivity,Auditor groups,REM,CEO_age_w,Big Four,593,155,-0.002740674276511705,,0.006384837614242739,-0.42924729524804944,0.6679628459686875,,cluster_two_way,firm and year two-way clustered,-0.015290805535637204,0.009809456982613795,0.019018949427867526
reproduced_sensitivity,Auditor groups,REM,CEO_age_w,Non-Big Four,11936,2789,-0.002003879278458979,,0.0009562165023899123,-2.0956334401786614,0.03614218937553848,**,cluster_two_way,firm and year two-way clustered,-0.0038782776731244367,-0.0001294808837935214,0.0002320726465344647
reproduced_sensitivity,Fixed age bands,AEM_w,MidAge,Full sample,12529,2944,35959838.54521637,35.959838545216364,22208376.764144853,1.6192015709708725,0.10543686157316512,,cluster_two_way,firm and year two-way clustered,-7573287.629629739,79492964.72006246,0.049798244102865596
reproduced_sensitivity,Fixed age bands,AEM_w,OldAge,Full sample,12529,2944,79348939.98690878,79.34893998690877,38197652.90927782,2.0773250172037594,0.037798185863796574,**,cluster_two_way,firm and year two-way clustered,4473443.171344981,154224436.8024726,0.049798244102865596
reproduced_sensitivity,Fixed age bands,REM_w,MidAge,Full sample,12529,2944,-0.021696002823835263,,0.010407464680306223,-2.0846578384157333,0.03712682516159127,**,cluster_two_way,firm and year two-way clustered,-0.0420968397647638,-0.0012951658829067278,0.004874425156595974
reproduced_sensitivity,Fixed age bands,REM_w,OldAge,Full sample,12529,2944,-0.026285947670895298,,0.01294898453073703,-2.029962087644811,0.042388007930128646,**,cluster_two_way,firm and year two-way clustered,-0.05166870226837709,-0.000903193073413508,0.004874425156595974
